Report Date,Country,Total Cases,Total Deaths,Mortality Rate
2020-02-28,Sri Lanka,1.0,0.0,0.0
2020-02-28,Eastern Mediterranean Region,,,
2020-02-28,Iran (Islamic Republic of),245.0,26.0,0.10612244897959183
2020-02-28,Kuwait,43.0,0.0,0.0
2020-02-28,Bahrain,33.0,0.0,0.0
2020-02-28,United Arab Emirates,19.0,0.0,0.0
2020-02-28,Iraq,7.0,0.0,0.0
2020-02-28,Oman,6.0,0.0,0.0
2020-02-28,Lebanon,2.0,0.0,0.0
2020-02-28,Pakistan,2.0,0.0,0.0
2020-02-28,Afghanistan,1.0,0.0,0.0
